SN20150528123933 Miller test unit tz UTC,startMinute,0,minutes per hour,60
1471633646,2016-8-19 19:7:26,50,2108.40,16.67
1471633646,2016-8-19 19:7:26,75,2108.70,16.68
1471633647,2016-8-19 19:7:27,0,2107.60,16.67
1471633647,2016-8-19 19:7:27,25,2106.70,16.67
1471633647,2016-8-19 19:7:27,50,2105.10,16.68
1471633647,2016-8-19 19:7:27,75,2101.40,16.68
1471633648,2016-8-19 19:7:28,0,2099.10,16.68
1471633648,2016-8-19 19:7:28,25,2095.70,16.67
1471633648,2016-8-19 19:7:28,50,2092.30,16.67
1471633648,2016-8-19 19:7:28,75,2088.00,16.68
1471633649,2016-8-19 19:7:29,0,2084.60,16.68
1471633649,2016-8-19 19:7:29,25,2081.20,16.67
1471633649,2016-8-19 19:7:29,50,2079.20,16.67
1471633649,2016-8-19 19:7:29,75,2077.20,16.67
1471633650,2016-8-19 19:7:30,0,2075.50,16.68
1471633650,2016-8-19 19:7:30,25,2074.90,16.67
1471633650,2016-8-19 19:7:30,50,2075.50,16.67
1471633650,2016-8-19 19:7:30,75,2076.30,16.67
1471633651,2016-8-19 19:7:31,0,2078.10,16.67
1471633651,2016-8-19 19:7:31,25,2080.00,16.67
1471633651,2016-8-19 19:7:31,50,2082.30,16.67
1471633651,2016-8-19 19:7:31,75,2084.30,16.67
1471633652,2016-8-19 19:7:32,0,2086.60,16.67
1471633652,2016-8-19 19:7:32,25,2088.50,16.66
1471633652,2016-8-19 19:7:32,50,2090.30,16.67
1471633652,2016-8-19 19:7:32,75,2091.90,16.67
1471633653,2016-8-19 19:7:33,0,2093.70,16.67
1471633653,2016-8-19 19:7:33,25,2094.50,16.67
1471633653,2016-8-19 19:7:33,50,2095.60,16.66
1471633653,2016-8-19 19:7:33,75,2097.60,16.67
1471633654,2016-8-19 19:7:34,0,2099.10,16.67
1471633654,2016-8-19 19:7:34,25,2100.20,16.67
1471633654,2016-8-19 19:7:34,50,2101.60,16.66
1471633654,2016-8-19 19:7:34,75,2103.00,16.66
1471633655,2016-8-19 19:7:35,0,2104.70,16.66
1471633655,2016-8-19 19:7:35,25,2106.70,16.66
1471633655,2016-8-19 19:7:35,50,2108.70,16.65
1471633655,2016-8-19 19:7:35,75,2109.80,16.66
1471633656,2016-8-19 19:7:36,0,2111.20,16.66
1471633656,2016-8-19 19:7:36,25,2112.10,16.66
1471633656,2016-8-19 19:7:36,50,2111.80,16.66
1471633656,2016-8-19 19:7:36,75,2110.90,16.66
1471633657,2016-8-19 19:7:37,0,2108.10,16.66
1471633657,2016-8-19 19:7:37,25,2105.80,16.66
1471633657,2016-8-19 19:7:37,50,2101.30,16.66
1471633657,2016-8-19 19:7:37,75,2097.00,16.66
1471633658,2016-8-19 19:7:38,0,2091.60,16.65
1471633658,2016-8-19 19:7:38,25,2086.20,16.66
1471633658,2016-8-19 19:7:38,50,2081.10,16.66
1471633658,2016-8-19 19:7:38,75,2075.70,16.66
1471633659,2016-8-19 19:7:39,0,2071.20,16.65
1471633659,2016-8-19 19:7:39,25,2067.20,16.66
1471633659,2016-8-19 19:7:39,50,2064.10,16.66
1471633659,2016-8-19 19:7:39,75,2063.50,16.66
1471633660,2016-8-19 19:7:40,0,2061.80,16.65
1471633660,2016-8-19 19:7:40,25,2063.00,16.66
1471633660,2016-8-19 19:7:40,50,2064.40,16.65
1471633660,2016-8-19 19:7:40,75,2066.90,16.66
1471633661,2016-8-19 19:7:41,0,2070.00,16.65
1471633661,2016-8-19 19:7:41,25,2073.50,16.66
1471633661,2016-8-19 19:7:41,50,2077.10,16.65
1471633661,2016-8-19 19:7:41,75,2080.60,16.65
1471633662,2016-8-19 19:7:42,0,2084.50,16.65
1471633662,2016-8-19 19:7:42,25,2088.20,16.65
1471633662,2016-8-19 19:7:42,50,2091.60,16.64
1471633662,2016-8-19 19:7:42,75,2094.20,16.65
1471633663,2016-8-19 19:7:43,0,2096.40,16.64
1471633663,2016-8-19 19:7:43,25,2097.90,16.65
1471633663,2016-8-19 19:7:43,50,2099.00,16.64
1471633663,2016-8-19 19:7:43,75,2099.00,16.65
1471633664,2016-8-19 19:7:44,0,2099.80,16.64
1471633664,2016-8-19 19:7:44,25,2099.80,16.64
1471633664,2016-8-19 19:7:44,50,2101.00,16.64
1471633664,2016-8-19 19:7:44,75,2101.20,16.64
1471633665,2016-8-19 19:7:45,0,2102.40,16.64
1471633665,2016-8-19 19:7:45,25,2102.90,16.64
1471633665,2016-8-19 19:7:45,50,2104.40,16.64
1471633665,2016-8-19 19:7:45,75,2105.50,16.64
1471633666,2016-8-19 19:7:46,0,2106.40,16.64
1471633666,2016-8-19 19:7:46,25,2107.50,16.63
1471633666,2016-8-19 19:7:46,50,2108.30,16.64
1471633666,2016-8-19 19:7:46,75,2108.90,16.64
1471633667,2016-8-19 19:7:47,0,2109.50,16.64
1471633667,2016-8-19 19:7:47,25,2109.20,16.63
1471633667,2016-8-19 19:7:47,50,2108.90,16.63
1471633667,2016-8-19 19:7:47,75,2108.30,16.63
1471633668,2016-8-19 19:7:48,0,2107.50,16.63
1471633668,2016-8-19 19:7:48,25,2106.30,16.63
1471633668,2016-8-19 19:7:48,50,2104.60,16.63
1471633668,2016-8-19 19:7:48,75,2103.80,16.63
1471633669,2016-8-19 19:7:49,0,2101.80,16.64
1471633669,2016-8-19 19:7:49,25,2100.70,16.63
1471633669,2016-8-19 19:7:49,50,2097.80,16.63
1471633669,2016-8-19 19:7:49,75,2097.20,16.63
1471633670,2016-8-19 19:7:50,0,2095.00,16.63
1471633670,2016-8-19 19:7:50,25,2093.00,16.63
1471633670,2016-8-19 19:7:50,50,2091.00,16.63
1471633670,2016-8-19 19:7:50,75,2089.00,16.63
1471633671,2016-8-19 19:7:51,0,2086.50,16.63
1471633671,2016-8-19 19:7:51,25,2084.20,16.63
1471633671,2016-8-19 19:7:51,50,2081.60,16.63
1471633671,2016-8-19 19:7:51,75,2080.20,16.63
1471633672,2016-8-19 19:7:52,0,2077.60,16.63
1471633672,2016-8-19 19:7:52,25,2076.80,16.63
1471633672,2016-8-19 19:7:52,50,2075.90,16.63
1471633672,2016-8-19 19:7:52,75,2074.80,16.62
1471633673,2016-8-19 19:7:53,0,2074.80,16.63
1471633673,2016-8-19 19:7:53,25,2075.40,16.63
1471633673,2016-8-19 19:7:53,50,2076.50,16.63
1471633673,2016-8-19 19:7:53,75,2077.60,16.63
1471633674,2016-8-19 19:7:54,0,2079.10,16.63
1471633674,2016-8-19 19:7:54,25,2081.30,16.62
1471633674,2016-8-19 19:7:54,50,2082.20,16.63
1471633674,2016-8-19 19:7:54,75,2083.30,16.63
1471633675,2016-8-19 19:7:55,0,2084.20,16.63
1471633675,2016-8-19 19:7:55,25,2084.70,16.63
1471633675,2016-8-19 19:7:55,50,2086.10,16.63
1471633675,2016-8-19 19:7:55,75,2086.10,16.62
1471633676,2016-8-19 19:7:56,0,2086.40,16.63
1471633676,2016-8-19 19:7:56,25,2087.30,16.63
1471633676,2016-8-19 19:7:56,50,2086.70,16.63
